"id","severity","domain","component","title","file","github","location","suggested_title"
"AUTH-003","Medium","AUTHENTICATION","auth-layer","No logout mechanism exists; sessions end only on token expiry (risk on shared terminals)","yes","#56","src/app/guards/auth.guard.ts:46-59","[RA AUTH-003] No logout mechanism exists; sessions end only on token expiry (risk on shared terminals)"
"AUTHZ-002","Medium","AUTHORIZATION","auth-layer","Dead guard conditions for export-reports and review-data — isAllowed() always returns true for those routes","yes","#58","src/app/services/keycloak.service.ts:155-166","[RA AUTHZ-002] Dead guard conditions for export-reports and review-data — isAllowed() always returns t..."
"CONFIG-005","Medium","CONFIGURATION","cloudfront-cdn","Security Scan Gate (Trivy) Has All Automatic CI/CD Triggers Disabled","yes","#65",".github/workflows/analysis.yaml:1-10","[RA CONFIG-005] Security Scan Gate (Trivy) Has All Automatic CI/CD Triggers Disabled"
"CONFIG-006","Medium","CONFIGURATION","shared-infrastructure","logLevel = 0 (LogLevel.All) Hardcoded in All Deployment Pipelines Including Production","yes","#69",".github/workflows/lza-deploy-admin-prod.yaml:73-87","[RA CONFIG-006] logLevel = 0 (LogLevel.All) Hardcoded in All Deployment Pipelines Including Production"
"CRYPTO-001","Medium","CRYPTOGRAPHY","cloudfront-cdn","CloudFront viewer TLS minimum version permits deprecated TLS 1.0 and TLS 1.1","yes","#23","template.yaml:89-92","[RA CRYPTO-001] CloudFront viewer TLS minimum version permits deprecated TLS 1.0 and TLS 1.1"
"LOG-004","Medium","SECURITY_LOGGING","shared-infrastructure","LoggerService defaults to LogLevel.Off — all logging silenced if logLevel not configured","yes","#73","src/app/services/logger.service.ts:18-18","[RA LOG-004] LoggerService defaults to LogLevel.Off — all logging silenced if logLevel not configured"
"LOG-005","Medium","SECURITY_LOGGING","shared-infrastructure","Raw error objects logged directly to console — potential stack trace exposure","yes","#77","src/app/services/config.service.ts:37-37","[RA LOG-005] Raw error objects logged directly to console — potential stack trace exposure"
"LOG-006","Medium","SECURITY_LOGGING","shared-infrastructure","No structured log format — all output is unstructured plain text","yes","#81","src/app/services/logger.service.ts:48-57","[RA LOG-006] No structured log format — all output is unstructured plain text"
"LOG-007","Medium","SECURITY_LOGGING","shared-infrastructure","All application logging is browser-console only — no server-side persistence","yes","#86","src/app/services/logger.service.ts:53-53","[RA LOG-007] All application logging is browser-console only — no server-side persistence"
"SECRET-002","Medium","SECRETS","cloudfront-cdn","Non-Production AWS Account IDs Hardcoded Across CI/CD Workflows, Scripts, and Infrastructure Templates","yes","#90","setup-lza-admin-dev-environment.sh:36-36","[RA SECRET-002] Non-Production AWS Account IDs Hardcoded Across CI/CD Workflows, Scripts, and Infrastru..."
"SECRET-003","Medium","SECRETS","cloudfront-cdn","Route53 Hosted Zone ID Hardcoded in Pre-Migration Script","yes","#94","pre-migration-certificate-setup.sh:77-77","[RA SECRET-003] Route53 Hosted Zone ID Hardcoded in Pre-Migration Script"
"TEST-003","Medium","TESTING","angular-spa-shell","No end-to-end or security-focused integration tests exist","yes","#98","package.json:1-20","[RA TEST-003] No end-to-end or security-focused integration tests exist"
"VULN-001","Medium","INJECTION","enter-data-module","Stored XSS via [innerHtml] binding with unsanitized HTML construction in HistoricalPillComponent","yes","#102","src/app/shared/components/historical-pill/historical-pill.component.ts:15-37","[RA VULN-001] Stored XSS via [innerHtml] binding with unsanitized HTML construction in HistoricalPill..."
"AUTH-004","Low","AUTHENTICATION","auth-layer","Silent token-refresh failure only logs; no forced redirect to `/login` on expiry","yes","#107","src/app/services/keycloak.service.ts:74-83","[RA AUTH-004] Silent token-refresh failure only logs; no forced redirect to /login on expiry"
"AUTH-005","Low","AUTHENTICATION","auth-layer","Hardcoded fallback OAuth client ID `'nrpti-admin'` when `KEYCLOAK_CLIENT_ID` absent","yes","#111","src/app/services/keycloak.service.ts:43-47","[RA AUTH-005] Hardcoded fallback OAuth client ID 'nrpti-admin' when KEYCLOAK_CLIENT_ID absent"
"AUTH-006","Low","AUTHENTICATION","shared-infrastructure","`TokenInterceptor` triggers token refresh on HTTP 403 (should be 401)","yes","#115","src/app/shared/utils/token-interceptor.ts:37-39","[RA AUTH-006] TokenInterceptor triggers token refresh on HTTP 403 (should be 401)"
"AUTH-007","Low","AUTHENTICATION","shared-infrastructure","Bearer token injected into every outbound request with no host allowlist","yes","#119","src/app/shared/utils/token-interceptor.ts:62-70","[RA AUTH-007] Bearer token injected into every outbound request with no host allowlist"
"AUTHZ-003","Low","AUTHORIZATION","angular-spa-shell","manage-subareas navigation link visible in header for non-admin users","yes","#123","src/app/header/header.component.ts:31-40","[RA AUTHZ-003] manage-subareas navigation link visible in header for non-admin users"
"AUTHZ-004","Low","AUTHORIZATION","auth-layer","isAdmin() uses hardcoded role string instead of centralized constant","yes","#128","src/app/services/keycloak.service.ts:173-184","[RA AUTHZ-004] isAdmin() uses hardcoded role string instead of centralized constant"
"AUTHZ-005","Low","AUTHORIZATION","auth-layer","Incomplete optional chaining in isAdmin() can throw TypeError on atypically-structured JWT","yes","#132","src/app/services/keycloak.service.ts:181-182","[RA AUTHZ-005] Incomplete optional chaining in isAdmin() can throw TypeError on atypically-structured JWT"
"BW-001","Low","CODE_VULNERABILITY","lock-records-module","Lock Records component has no unlock workflow — lock parameter hardcoded to true","yes","#136","src/app/lock-records/lock-records.component.ts:53-55","[RA BW-001] Lock Records component has no unlock workflow — lock parameter hardcoded to true"
"BW-002","Low","CODE_VULNERABILITY","export-reports-module","Export service has typo 'expor-variance' — variance job status check silently fails","yes","#141","src/app/services/export.service.ts:30-35","[RA BW-002] Export service has typo 'expor-variance' — variance job status check silently fails"
"DEP-001","Low","DEPENDENCIES","angular-spa-shell","`chart.js@4.4.1` declared as runtime dependency but never imported (unused)","yes","#146","package.json:34-34","[RA DEP-001] chart.js@4.4.1 declared as runtime dependency but never imported (unused)"
"DEP-002","Low","DEPENDENCIES","angular-spa-shell","`jquery@3.7.1` loaded globally but unused by Bootstrap 5 (unused, ~90KB attack surface)","yes","#155","package.json:36-36","[RA DEP-002] jquery@3.7.1 loaded globally but unused by Bootstrap 5 (unused, ~90KB attack surface)"
"DEP-003","Low","DEPENDENCIES","api-client-services","`moment@2.30.1` maintenance-mode legacy library used alongside `luxon`","yes","#159","package.json:40-40","[RA DEP-003] moment@2.30.1 maintenance-mode legacy library used alongside luxon"
"LOG-008","Low","SECURITY_LOGGING","angular-spa-shell","No global Angular ErrorHandler registered — unhandled errors go only to console","yes","#163","src/app/app.module.ts:53-75","[RA LOG-008] No global Angular ErrorHandler registered — unhandled errors go only to console"
"LOG-009","Low","SECURITY_LOGGING","api-client-services","Internal system identifiers included in debug log messages","yes","#167","src/app/services/activity.service.ts:43-44","[RA LOG-009] Internal system identifiers included in debug log messages"
"SECRET-004","Low","SECRETS","aws-api-gateway","API Gateway Instance ID Hardcoded in SAM Template Default and Deployment Config","yes","#169","template.yaml:31-31","[RA SECRET-004] API Gateway Instance ID Hardcoded in SAM Template Default and Deployment Config"
"SECRET-005","Low","SECRETS","keycloak-idp","Keycloak Client ID and Development Server URLs Committed in Tracked env.js","yes","#173","src/env.js:17-19","[RA SECRET-005] Keycloak Client ID and Development Server URLs Committed in Tracked env.js"
"TEST-004","Low","TESTING","shared-infrastructure","Core services data.service, event.service, auto-fetch.service, sidebar.service, toast.service, and breadcrumb.service have no tests","yes","#177","src/app/services/data.service.ts:1-1","[RA TEST-004] Core services data.service, event.service, auto-fetch.service, sidebar.service, toast.s..."
"TEST-005","Low","TESTING","angular-spa-shell","Deployment pipelines execute build and deploy without running tests","yes","#181",".github/workflows/lza-deploy-admin-dev.yaml:50-65","[RA TEST-005] Deployment pipelines execute build and deploy without running tests"
"TEST-006","Low","TESTING","angular-spa-shell","No code coverage threshold configured — coverage can degrade without failing CI","yes","#185","angular.json:112-145","[RA TEST-006] No code coverage threshold configured — coverage can degrade without failing CI"
"VULN-002","Low","INJECTION","api-client-services","URL query string constructed without encodeURIComponent() in ApiService.generateQueryString()","yes","#190","src/app/services/api.service.ts:55-64","[RA VULN-002] URL query string constructed without encodeURIComponent() in ApiService.generateQuerySt..."
"VULN-003","Low","INJECTION","export-reports-module","window.open() called with backend-supplied signedURL without URL scheme validation","yes","#192","src/app/export-reports/export-reports.component.ts:356-359","[RA VULN-003] window.open() called with backend-supplied signedURL without URL scheme validation"
"BW-004","Informational","AUTHORIZATION","enter-data-module","Activity form loads park/sub-area data from URL query params without client-side ownership verification","optional","pending","src/app/resolvers/form.resolver.ts:17-28","[RA BW-004] Activity form loads park/sub-area data from URL query params without client-side owners..."
"BW-005","Informational","CONFIGURATION","shared-infrastructure","AutoFetch background polling interval hardcoded — not drawn from ConfigService","optional","pending","src/app/services/auto-fetch.service.ts:4-4","[RA BW-005] AutoFetch background polling interval hardcoded — not drawn from ConfigService"
"DEP-004","Informational","DEPENDENCIES","angular-spa-shell","`@babel/traverse@7.23.2` (build tool) misclassified in runtime dependencies","optional","pending","package.json:26-26","[RA DEP-004] @babel/traverse@7.23.2 (build tool) misclassified in runtime dependencies"
"DEP-005","Informational","DEPENDENCIES","angular-spa-shell","`@typescript-eslint/types` (lint tool) misclassified in runtime dependencies","optional","pending","package.json:32-32","[RA DEP-005] @typescript-eslint/types (lint tool) misclassified in runtime dependencies"
"DEP-006","Informational","DEPENDENCIES","shared-infrastructure","`guid-typescript@1.0.9` unmaintained (no updates since 2018) — supply-chain risk","optional","pending","package.json:35-35","[RA DEP-006] guid-typescript@1.0.9 unmaintained (no updates since 2018) — supply-chain risk"
"DEP-007","Informational","DEPENDENCIES","enter-data-module","`@digitalspace/ngds-forms/toolkit@0.0.111` pre-release internal packages in production","optional","pending","package.json:28-29","[RA DEP-007] @digitalspace/ngds-forms/toolkit@0.0.111 pre-release internal packages in production"
"TEST-007","Informational","TESTING","shared-infrastructure","nav-card and non-resident-revenue shared components have no test coverage","optional","pending","src/app/shared/components/nav-card/nav-card.component.ts:1-1","[RA TEST-007] nav-card and non-resident-revenue shared components have no test coverage"
"CONFIG-001","High","CRYPTOGRAPHY","cloudfront-cdn","TLS 1.0/1.1 Allowed as Minimum Protocol Version on CloudFront Viewer-Facing Connections","skip-duplicate → CRYPTO-001","pending","template.yaml:89-92","[RA CONFIG-001] TLS 1.0/1.1 Allowed as Minimum Protocol Version on CloudFront Viewer-Facing Connections"
"TEST-002","Medium","TESTING","angular-spa-shell","Trivy security scan workflow disabled for all automatic triggers","skip-duplicate → CONFIG-005","pending",".github/workflows/analysis.yaml:3-11","[RA TEST-002] Trivy security scan workflow disabled for all automatic triggers"
"BW-003","Low","CODE_VULNERABILITY","api-client-services","API query string builder does not URL-encode parameter values","skip-duplicate → VULN-002","pending","src/app/services/api.service.ts:54-62","[RA BW-003] API query string builder does not URL-encode parameter values"
